Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 12000 Miles,Euro Standard,Noise Level dB(A),Emissions CO [mg/km],THC Emissions [mg/km],Emissions NOx [mg/km],THC + NOx Emissions [mg/km],Particulates [No.] [mg/km]
AUDI,A4 Avant,2.0 TFSI 211PS Multitronic,AV,1984,Petrol,9.8,5.9,7.3,28.8,47.9,38.7,172,1874.78449612403,5,73,573,58,49,,
AUDI,A4 Avant,2.0 TFSI 211PS 7speed quattro S-Tronic ,D7,1984,Petrol,9.6,6.7,7.8,29.4,42.2,36.2,179,2004.25856353591,5,74,521,56,49,,
AUDI,A4 Avant,2.7 V6 TDI 190PS Multitronic,AV,2697,Diesel,7.7,5.8,6.5,36.7,48.7,43.5,169,1743.15586206897,5,72,225,,165,190,0.9
AUDI,A4 Avant,3.0 V6 TDI 240PS quattro with DPF,QM6,2967,Diesel,8.8,5.5,6.8,32.1,51.4,41.5,176,1827.16337349398,5,74,246,,157,191,0.4
AUDI,A4 Avant,3.0 V6 TDI 240PS quattro S-Tronic,QA6,2967,Diesel,8.5,5.8,6.8,33.2,48.7,41.5,179,1827.16337349398,5,74,208,,165,184,0.9
AUDI,A4 Avant,S4 3.0 V6 333PS quattro ,QM6,2967,Petrol,14.2,7.8,10.2,19.9,36.2,27.7,239,2619.28375451264,5,75,609,57,49,,
AUDI,A4 Avant,S4 3.0 V6 333PS 7speed quattro S-Tronic,D7,2967,Petrol,13.8,7.3,9.7,20.5,38.7,29.1,224,2493.27010309278,5,74,392,70,60,,
AUDI,A4 Avant,3.2 V6 265PS Multitronic,AV,3197,Petrol,11.6,6.5,8.4,24.4,43.5,33.6,197,2159.35,5,74,245,60,53,,
AUDI,A4 Avant,3.2 V6 quattro 265PS ,QM6,3197,Petrol,13.6,6.9,9.4,20.8,40.9,30.1,219,2410.43720930233,5,74,314,43,36,,
AUDI,A4 Avant,3.2 V6 quattro 265PS Tiptronic,QA6,3197,Petrol,13.2,7.1,9.4,21.4,39.8,30.1,219,2410.43720930233,5,70,156,39,33,,
AUDI,A4 Allroad,2.0 TDI quattro 170PS with Stop-Start,QM6,1968,Diesel,7.5,5.5,6.2,37.7,51.4,45.6,164,1662.87894736842,5,72,215,,123,144,0.1
AUDI,A4 Allroad,2.0 TFSI quattro 211PS 7speed S-Tronic,QD7,1984,Petrol,10.4,7,8.3,27.2,40.4,34,194,2133.94588235294,5,72,240,27,23,,
