Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 12000 Miles,Noise Level dB(A),Emissions CO,Emissions HC,Emissions NOx,Emissions HC+NOx,Emissions Particulates,Euro Standard,,,,,,
AUDI,A4 Avant,1.8 T quattro 163PS,QM6,1781,Petrol,12.6,6.9,9.0,22.4,40.9,31.4,216,1529,71.0,0.481,0.035,0.043,,,IV,,,,,,
AUDI,A4 Avant,2.0 TFSI quattro 200PS Tiptronic,QA6,1984,Petrol,13.4,7.3,9.5,21.1,38.7,29.7,226,1616,74.0,0.617,0.061,0.024,,,IV,,,,,,
AUDI,A4 Avant,3.2 V6 256PS Multitronic,AV,3123,Petrol,13.9,7.0,9.6,20.3,40.4,29.4,228,1633,74.0,0.887,0.075,0.037,,,IV,,,,,,
AUDI,A4 Avant,3.2 V6 quattro 256PS,QM6,3123,Petrol,15.8,7.6,10.6,17.9,37.2,26.6,252,1805,71.0,0.462,0.064,0.031,,,IV,,,,,,
AUDI,A4 Avant,3.2 V6 quattro 256PS Tiptronic,QA6,3123,Petrol,15.5,7.8,10.6,18.2,36.2,26.6,252,1805,72.0,0.749,0.080,0.062,,,IV,,,,,,
AUDI,A4 Saloon,2.0 TDI 140PS,M6,1968,Diesel,7.8,4.5,5.7,36.2,62.8,49.6,151,1100,73.0,0.115,,0.226,0.257,0.022,IV,,,,,,
AUDI,A4 Saloon,1.9 TDI 115PS,M5,1896,Diesel,7.8,4.5,5.7,36.2,62.8,49.6,152,1100,71.0,0.051,,0.191,0.210,0.021,IV,,,,,,
AUDI,A4 Saloon,2.0 TDI 170PS with DPF,M6,1984,Diesel,7.9,4.6,5.8,35.8,61.4,48.7,154,1120,72.0,0.017,,0.190,0.198,0.001,IV,,,,,,
AUDI,A4 Saloon,2.0 TDI 140PS Multitronic,AV,1968,Diesel,8.2,5.1,6.2,34.4,55.4,45.6,164,1196,72.0,0.044,,0.229,0.241,0.022,IV,,,,,,
AUDI,A4 Saloon,2.0 TDI quattro 170PS with DPF,QM6,1984,Diesel,9.2,5.3,6.7,30.7,53.3,42.2,177,1293,74.0,0.010,,0.191,0.201,0.001,IV,,,,,,
AUDI,A4 Saloon,2.7 V6 TDI 180PS with DPF,M6,2698,Diesel,9.5,5.1,6.7,29.7,55.4,42.2,179,1293,72.0,0.217,,0.195,0.221,0.001,IV,,,,,,
AUDI,A4 Saloon,2.7 V6 TDI 180PS Multitronic with DPF,AV,2698,Diesel,9.2,5.4,6.8,30.7,52.3,41.5,179,1315,72.0,0.166,,0.188,0.210,0.001,IV,,,,,,
AUDI,A4 Saloon,3.0 V6 TDI quattro 233PS,QM6,2967,Diesel,10.7,5.7,7.5,26.4,49.6,37.7,198,1447,73.0,0.208,,0.210,0.240,0.023,IV,,,,,,
AUDI,A4 Saloon,3.0 V6 TDI quattro 233PS Tiptronic,QA6,2967,Diesel,11.6,6.2,8.2,24.4,45.6,34.4,219,1586,73.0,0.234,,0.171,0.204,0.022,IV,,,,,,
AUDI,A4 Saloon,2.0 TFSI 200PS,M6,1984,Petrol,10.9,5.8,7.7,25.9,48.7,36.7,184,1308,73.0,0.610,0.059,0.017,,,IV,,,,,,
AUDI,A4 Saloon,2.0 130PS Multitronic,AV,1984,Petrol,11.0,6.3,8.0,25.7,44.8,35.3,191,1360,71.0,0.705,0.088,0.038,,,IV,,,,,,
AUDI,A4 Saloon,1.8 T 163PS,M5,1781,Petrol,11.1,6.4,8.1,25.4,44.1,34.9,192,1376,71.0,0.446,0.020,0.017,,,IV,,,,,,
AUDI,A4 Saloon,2.0 TFSI 220PS Special Edition,M6,1984,Petrol,11.2,6.2,8.0,25.2,45.6,35.3,192,1360,73.0,0.666,0.076,0.029,,,IV,,,,,,
AUDI,A4 Saloon,2.0 130PS,M5,1984,Petrol,11.6,6.1,8.2,24.4,46.3,34.4,193,1396,73.0,0.682,0.068,0.044,,,IV,,,,,,
AUDI,A4 Saloon,2.0 TFSI 200PS Multitronic,AV,1984,Petrol,11.2,6.3,8.1,25.2,44.8,34.9,194,1376,73.0,0.636,0.038,0.018,,,IV,,,,,,
AUDI,A4 Saloon,1.8 T 163PS Multitronic,AV,1781,Petrol,11.4,6.5,8.3,24.8,43.5,34.0,199,1412,71.0,0.617,0.058,0.049,,,IV,,,,,,
AUDI,A4 Saloon,2.0 TFSI quattro 200PS,QM6,1984,Petrol,12.6,6.6,8.8,22.4,42.8,32.1,209,1496,74.0,0.634,0.034,0.019,,,IV,,,,,,
AUDI,A4 Saloon,2.0 TFSI quattro 220PS Special Edition,QM6,1984,Petrol,12.7,6.9,9.0,22.2,40.9,31.4,214,1529,73.0,0.643,0.046,0.030,,,IV,,,,,,
AUDI,A4 Saloon,1.8 T quattro 163PS,QM6,1781,Petrol,12.6,6.9,9.0,22.4,40.9,31.4,216,1529,71.0,0.481,0.035,0.043,,,IV,,,,,,
AUDI,A4 Saloon,2.0 TFSI quattro 200PS Tiptronic,QA6,1984,Petrol,13.1,7.2,9.4,21.6,39.2,30.1,224,1595,74.0,0.617,0.061,0.024,,,IV,,,,,,
AUDI,A4 Saloon,3.2 V6 FSI 256PS Multitronic,AV,3123,Petrol,13.8,6.9,9.5,20.5,40.9,29.7,225,1616,74.0,0.887,0.075,0.037,,,IV,,,,,,
